t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet1,Qhc,Qpipe,Qet2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
15619,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15620,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15621,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15622,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15623,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15624,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15626,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15627,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15628,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15629,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
