t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet_1,Qhc,Qpipe,Qet_2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
50,0.0,0.0,0.23279894395778206,0.00014267938223858325,0,0.00014156863498012223,0.0,0.0,0.00014156863498012223,0.0,0.3406726901367811,0.4,0,0,0.0,0.2385061192473254,0.9678201424340371,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014156863498012222
51,0.0,0.0,0.2271358737188763,0.00014157675597264348,0,0.00014047747052059863,0.0,0.0,0.00014047747052059863,0.0,0.3407606329729447,0.4,0,0,0.0,0.23279894395778206,0.9680699800367746,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014047747052059863
52,0.0,0.0,0.22151656768677683,0.0001404826508024869,0,0.00013939368227924184,0.0,0.0,0.00013939368227924184,0.0,0.3408477504548043,0.4,0,0,0.0,0.2271358737188763,0.9683174728829667,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.013939368227924182
53,0.0,0.0,0.2159406876516934,0.00013939700087708528,0,0.00013831760588334325,0.0,0.0,0.00013831760588334325,0.0,0.34093410205430374,0.4,0,0,0.0,0.22151656768677683,0.9685627899269992,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.013831760588334324
54,0.0,0.0,0.21040789801752113,0.00013831974085430716,0,0.0001372494266424127,0.0,0.0,0.0001372494266424127,0.0,0.34101972719125534,0.4,0,0,0.0,0.2159406876516934,0.9688060431569753,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.01372494266424127
55,0.0,0.0,0.20491786578164173,0.00013725080589698508,0,0.0001361892369410025,0.0,0.0,0.0001361892369410025,0.0,0.34110465270773394,0.4,0,0,0.0,0.21040789801752113,0.9690473088287895,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.013618923694100251
56,0.0,0.0,0.1994702605148812,0.00013619013166901316,0,0.0001351370715430112,0.0,0.0,0.0001351370715430112,0.0,0.3411888975178141,0.4,0,0,0.0,0.20491786578164173,0.9692866406756082,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.01351370715430112
57,0.0,0.0,0.1940647543416222,0.00013513765433147503,0,0.00013409292939966296,0.0,0.0,0.00013409292939966296,0.0,0.34127247551235906,0.4,0,0,0.0,0.1994702605148812,0.9695240781601109,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.013409292939966296
58,0.0,0.0,0.18870102192007016,0.00013409331053880138,0,0.00013305678717667277,0.0,0.0,0.0001330567871766728,0.0,0.3413553973813293,0.4,0,0,0.0,0.1940647543416222,0.9697596516515037,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.013305678717667278
59,0.0,0.0,0.18337874042267185,0.00013305703743495754,0,0.0001320286076794265,0.0,0.0,0.00013202860767942646,0.0,0.34143767176177187,0.4,0,0,0.0,0.18870102192007016,0.9699933856868518,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.013202860767942647
60,0.0,0.0,0.17809758951668545,0.0001320287726496602,0,0.00013100834512165977,0.0,0.0,0.00013100834512165977,0.0,0.3415193059640119,0.4,0,0,0.0,0.18337874042267185,0.9702253010341246,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.013100834512165977
61,0.0,0.0,0.17285725134490051,0.0001310084542946236,0,0.00012999594843321092,0.0,0.0,0.00012999594843321092,0.0,0.34160030643292494,0.4,0,0,0.0,0.17809758951668545,0.9704554160026276,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.012999594843321092
62,0.0,0.0,0.16765741050650712,0.00012999602095983476,0,0.0001289913633446089,0.0,0.0,0.0001289913633446089,0.0,0.34168067904214305,0.4,0,0,0.0,0.17285725134490051,0.9706837472788153,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.012899136334460888
